image_name,tags
test_481,clear primary
test_482,clear primary
test_483,primary partly_cloudy
test_484,primary water partly_cloudy
test_485,clear primary
test_486,clear primary
test_487,primary road water agriculture cultivation partly_cloudy
test_488,clear primary
test_489,clear primary water
test_490,clear primary agriculture partly_cloudy
test_491,clear primary road agriculture
test_492,clear primary
test_493,clear primary water
test_494,clear primary
test_495,clear primary
test_496,primary partly_cloudy
test_497,clear primary road water agriculture habitation
test_498,clear primary
test_499,clear primary
test_500,clear primary
test_501,clear primary
test_502,clear primary
test_503,clear primary agriculture
test_504,primary partly_cloudy
test_505,clear primary road agriculture habitation
test_506,clear primary
test_507,cloudy
test_508,clear primary road water agriculture
test_509,clear primary
test_510,artisinal_mine clear primary road water
test_511,clear primary road agriculture
test_512,haze cloudy
test_513,clear primary
test_514,primary partly_cloudy
test_515,primary partly_cloudy
test_516,clear primary
test_517,clear primary road agriculture
test_518,primary water partly_cloudy
test_519,clear primary road water agriculture
test_520,cloudy
test_521,primary partly_cloudy
test_522,clear primary road agriculture
test_523,primary partly_cloudy
test_524,haze primary
test_525,clear primary
test_526,clear primary road agriculture
test_527,clear primary
test_528,clear primary road agriculture habitation
test_529,primary partly_cloudy
test_530,primary agriculture partly_cloudy
test_531,clear primary road agriculture
test_532,clear primary
test_533,clear primary
test_534,clear primary
test_535,clear primary
test_536,haze primary water
test_537,primary partly_cloudy
test_538,clear primary
test_539,primary partly_cloudy
test_540,clear primary road water
test_541,primary road agriculture partly_cloudy
test_542,clear primary water
test_543,clear primary
test_544,clear primary road water agriculture
test_545,clear primary
test_546,clear primary road agriculture
test_547,clear primary
test_548,primary partly_cloudy
test_549,haze primary road agriculture partly_cloudy
test_550,clear primary water
test_551,primary road agriculture habitation partly_cloudy
test_552,clear primary
test_553,clear primary road water
test_554,clear primary
test_555,primary water
test_556,cloudy
test_557,clear primary
test_558,primary
test_559,clear primary
test_560,clear primary
test_561,primary partly_cloudy
test_562,clear primary agriculture
test_563,clear primary agriculture cultivation
test_564,clear primary road habitation
test_565,primary partly_cloudy
test_566,clear primary
test_567,primary partly_cloudy
test_568,clear primary road agriculture habitation
test_569,clear primary
test_570,primary partly_cloudy
test_571,clear primary
test_572,primary partly_cloudy
test_573,clear primary
test_574,clear primary
test_575,clear primary
test_576,clear primary
test_577,clear primary
test_578,haze primary
test_579,clear primary
test_580,clear primary road agriculture
test_581,clear primary road
test_582,clear primary
test_583,clear primary road agriculture
test_584,clear primary
test_585,clear primary water
test_586,clear primary road agriculture
test_587,clear primary agriculture
test_588,clear primary road
test_589,primary partly_cloudy
test_590,clear primary
test_591,clear primary road agriculture
test_592,clear primary road agriculture
test_593,clear primary
test_594,clear primary agriculture
test_595,primary partly_cloudy
test_596,clear primary water
test_597,primary agriculture partly_cloudy
test_598,primary agriculture cultivation partly_cloudy
test_599,clear primary
test_600,clear primary
test_601,haze primary agriculture
test_602,cloudy
test_603,clear primary
test_604,cloudy
test_605,primary partly_cloudy
test_606,clear primary road agriculture
test_607,primary partly_cloudy
test_608,clear primary road agriculture habitation
test_609,clear haze primary
test_610,clear primary
test_611,clear primary water
test_612,clear primary
test_613,primary partly_cloudy
test_614,clear primary
test_615,clear primary water
test_616,clear primary
test_617,clear primary
test_618,clear primary
test_619,clear primary road water
test_620,clear primary agriculture
test_621,clear primary
test_622,clear primary road agriculture cultivation habitation
test_623,clear primary
test_624,clear primary
test_625,clear primary
test_626,clear primary
test_627,clear primary agriculture
test_628,clear primary
test_629,clear primary
test_630,clear road agriculture habitation
test_631,haze primary agriculture
test_632,cloudy
test_633,clear primary
test_634,clear primary water agriculture
test_635,clear primary
test_636,clear primary
test_637,clear primary
test_638,clear primary
test_639,clear primary agriculture
test_640,clear primary
test_641,clear primary road water agriculture habitation
test_642,clear primary water agriculture
test_643,clear primary agriculture cultivation
test_644,clear primary
test_645,primary partly_cloudy
test_646,primary partly_cloudy
test_647,clear primary agriculture
test_648,clear primary road agriculture habitation
test_649,clear primary road agriculture
test_650,clear primary water agriculture
test_651,clear primary road agriculture habitation
test_652,clear primary
test_653,primary agriculture cultivation partly_cloudy
test_654,cloudy
test_655,clear primary
test_656,clear primary
test_657,primary road agriculture habitation partly_cloudy
test_658,clear primary road water
test_659,clear primary
test_660,clear primary
test_661,clear primary
test_662,primary partly_cloudy
test_663,primary water partly_cloudy
test_664,cloudy
test_665,clear primary
test_666,clear primary
test_667,clear primary
test_668,clear primary water agriculture cultivation
test_669,clear primary
test_670,primary partly_cloudy
test_671,clear primary agriculture
test_672,clear primary
test_673,clear primary
test_674,primary partly_cloudy
test_675,cloudy
test_676,clear primary road agriculture
test_677,clear primary
test_678,clear primary agriculture
test_679,cloudy
test_680,clear primary cultivation
test_681,clear primary
test_682,clear primary
test_683,primary partly_cloudy
test_684,clear primary
test_685,clear primary road agriculture
test_686,clear primary
test_687,cloudy
test_688,clear primary road agriculture
test_689,clear primary road
test_690,clear primary
test_691,primary agriculture partly_cloudy
test_692,haze primary
test_693,clear primary water
test_694,clear primary agriculture cultivation
test_695,clear primary agriculture cultivation
test_696,clear primary water
test_697,primary partly_cloudy
test_698,clear primary water agriculture
test_699,clear primary road agriculture
test_700,cloudy
test_701,clear primary road agriculture habitation
test_702,cloudy
test_703,clear primary
test_704,clear primary
test_705,clear primary
test_706,clear primary
test_707,clear primary road
test_708,clear primary
test_709,cloudy
test_710,clear primary
test_711,clear primary
test_712,primary partly_cloudy
test_713,clear primary
test_714,cloudy
test_715,primary partly_cloudy
test_716,clear primary
test_717,clear primary
test_718,primary agriculture partly_cloudy
test_719,clear primary
test_720,clear primary road water agriculture
test_721,clear primary
test_722,clear primary
test_723,primary road agriculture partly_cloudy
test_724,clear primary road agriculture
test_725,clear primary water habitation
test_726,clear primary
test_727,primary road partly_cloudy
test_728,clear primary
test_729,clear primary agriculture
test_730,clear primary cultivation
test_731,clear primary
test_732,clear primary
test_733,clear primary
test_734,clear primary
test_735,clear primary agriculture
test_736,primary road agriculture partly_cloudy
test_737,clear primary water
test_738,primary road agriculture habitation partly_cloudy
test_739,clear primary agriculture
test_740,clear primary
test_741,primary partly_cloudy
test_742,clear primary
test_743,clear primary
test_744,clear primary agriculture habitation
test_745,clear primary
test_746,primary partly_cloudy
test_747,clear primary road agriculture
test_748,clear primary
test_749,primary partly_cloudy
test_750,clear primary road agriculture
test_751,clear primary
test_752,primary partly_cloudy
test_753,clear primary
test_754,primary partly_cloudy
test_755,haze primary
test_756,clear primary road habitation
test_757,clear primary
test_758,cloudy
test_759,primary partly_cloudy
test_760,clear primary
test_761,primary partly_cloudy
test_762,clear primary
test_763,clear
test_764,clear primary road agriculture
test_765,clear primary
test_766,clear primary
test_767,clear primary road water habitation
test_768,clear primary
test_769,cloudy
test_770,clear primary agriculture
test_771,clear primary agriculture
test_772,primary partly_cloudy
test_773,primary partly_cloudy
test_774,clear primary agriculture
test_775,clear primary water agriculture
test_776,clear primary
test_777,clear primary road agriculture habitation
test_778,clear primary road agriculture habitation
test_779,clear primary
test_780,clear primary
test_781,clear primary road agriculture habitation
test_782,clear primary road water
test_783,cloudy
test_784,clear primary road water agriculture
test_785,primary partly_cloudy
test_786,primary partly_cloudy
test_787,clear primary agriculture
test_788,cloudy
test_789,primary partly_cloudy
test_790,clear primary road water
test_791,clear primary agriculture
test_792,clear primary
test_793,primary partly_cloudy
test_794,clear primary agriculture
test_795,clear primary bare_ground water
test_796,clear primary
test_797,primary partly_cloudy
test_798,primary water partly_cloudy
test_799,clear primary
test_800,clear primary
test_801,primary agriculture cultivation partly_cloudy
test_802,clear primary road agriculture
test_803,clear primary agriculture
test_804,clear primary
test_805,clear primary
test_806,clear primary
test_807,clear primary road agriculture
test_808,clear primary
test_809,clear primary
test_810,primary partly_cloudy
test_811,clear primary
test_812,primary water
test_813,clear primary
test_814,clear primary water cultivation
test_815,clear primary
test_816,clear primary water
test_817,cloudy
test_818,clear primary road habitation
test_819,clear
test_820,clear primary
test_821,clear primary agriculture
test_822,clear primary
test_823,cloudy
test_824,clear primary
test_825,haze primary water agriculture
test_826,clear primary road agriculture
test_827,clear primary
test_828,clear primary water
test_829,clear primary
test_830,haze primary
test_831,clear primary
test_832,primary partly_cloudy
test_833,primary partly_cloudy
test_834,clear primary
test_835,clear primary
test_836,clear primary
test_837,clear primary water
test_838,clear primary road agriculture
test_839,clear primary
test_840,clear primary
test_841,clear primary water
test_842,clear primary
test_843,cloudy
test_844,primary road agriculture partly_cloudy
test_845,clear primary road agriculture
test_846,clear primary road agriculture
test_847,clear primary
test_848,cloudy
test_849,cloudy
test_850,clear primary agriculture habitation
test_851,clear primary
test_852,primary partly_cloudy
test_853,haze primary
test_854,clear primary road agriculture
test_855,clear primary
test_856,clear primary agriculture
test_857,primary water partly_cloudy
test_858,haze primary
test_859,clear haze primary agriculture cultivation
test_860,clear primary
test_861,clear primary
test_862,primary partly_cloudy
test_863,clear primary
test_864,clear primary
test_865,cloudy
test_866,primary partly_cloudy
test_867,cloudy
test_868,clear primary
test_869,clear primary
test_870,clear primary cultivation
test_871,primary partly_cloudy
test_872,clear primary water agriculture habitation
test_873,clear primary
test_874,clear primary
test_875,primary partly_cloudy
test_876,clear primary
test_877,primary agriculture partly_cloudy
test_878,primary road partly_cloudy
test_879,clear primary agriculture
test_880,clear primary
test_881,clear primary agriculture
test_882,clear primary
test_883,cloudy
test_884,clear primary
test_885,clear primary
test_886,haze primary water agriculture
test_887,primary road agriculture partly_cloudy
test_888,primary partly_cloudy
test_889,haze primary
test_890,clear primary
test_891,clear primary road agriculture
test_892,primary partly_cloudy
test_893,primary partly_cloudy
test_894,clear primary road water
test_895,clear agriculture
test_896,primary partly_cloudy
test_897,primary cloudy
test_898,cloudy
test_899,clear primary road water
test_900,clear primary agriculture
test_901,clear primary
test_902,cloudy
test_903,primary agriculture cultivation partly_cloudy
test_904,primary agriculture partly_cloudy
test_905,clear primary
test_906,clear primary road agriculture
test_907,clear primary
test_908,clear primary
test_909,clear primary
test_910,cloudy
test_911,clear primary
test_912,clear primary agriculture cultivation
test_913,clear primary agriculture cultivation
test_914,clear primary water
test_915,clear primary
test_916,clear primary
test_917,haze primary agriculture
test_918,clear primary
test_919,haze primary
test_920,clear primary
test_921,cloudy
test_922,cloudy
test_923,clear primary road water agriculture
test_924,primary partly_cloudy
test_925,cloudy
test_926,clear primary road agriculture habitation
test_927,clear primary
test_928,clear primary road water
test_929,primary partly_cloudy
test_930,clear primary road water
test_931,clear primary
test_932,clear primary
test_933,clear primary
test_934,primary partly_cloudy
test_935,clear primary road water
test_936,primary partly_cloudy
test_937,cloudy
test_938,clear primary water
test_939,clear primary road
test_940,clear primary
test_941,clear primary road agriculture
test_942,primary agriculture
test_943,primary partly_cloudy
test_944,cloudy
test_945,clear primary
test_946,clear primary road
test_947,primary partly_cloudy
test_948,clear primary
test_949,clear primary agriculture cultivation
test_950,primary water partly_cloudy
test_951,primary road agriculture partly_cloudy
test_952,clear primary agriculture
test_953,clear primary road agriculture cultivation habitation
test_954,primary partly_cloudy
test_955,clear primary water
test_956,primary partly_cloudy
test_957,primary water agriculture partly_cloudy
test_958,haze primary road agriculture
test_959,cloudy
test_960,primary partly_cloudy
test_961,primary slash_burn agriculture partly_cloudy
test_962,clear primary
test_963,clear primary road agriculture
test_964,clear primary
test_965,clear primary
test_966,clear primary
test_967,clear primary
test_968,clear primary agriculture cultivation
test_969,clear primary
test_970,clear primary
test_971,clear primary
test_972,clear primary agriculture cultivation
test_973,primary road agriculture partly_cloudy
test_974,clear primary agriculture
test_975,clear primary
test_976,clear primary cultivation
test_977,clear primary water
test_978,clear primary
test_979,primary partly_cloudy
test_980,clear primary road water habitation
test_981,clear primary
test_982,clear primary
test_983,clear primary
test_984,clear primary road agriculture cultivation habitation
test_985,primary road partly_cloudy
test_986,clear primary
test_987,clear primary
test_988,clear primary
test_989,clear primary
test_990,haze primary
test_991,clear primary agriculture
test_992,clear primary
test_993,clear primary road agriculture habitation
test_994,clear primary water
test_995,clear primary road agriculture
test_996,clear primary
test_997,clear primary
test_998,haze primary
test_999,clear primary
test_1000,clear primary road agriculture
test_1001,clear primary
test_1002,clear primary
test_1003,artisinal_mine clear primary water
test_1004,clear primary agriculture
test_1005,clear primary
test_1006,clear primary partly_cloudy
test_1007,clear primary water
test_1008,primary partly_cloudy
test_1009,primary road agriculture
test_1010,cloudy
test_1011,clear primary
test_1012,clear primary
test_1013,primary partly_cloudy
test_1014,clear primary
test_1015,clear primary agriculture
test_1016,clear primary road agriculture habitation
test_1017,haze primary road water agriculture
test_1018,primary road water agriculture cultivation partly_cloudy
test_1019,primary road water agriculture partly_cloudy
test_1020,clear primary agriculture
test_1021,primary water partly_cloudy
test_1022,cloudy
test_1023,primary partly_cloudy
test_1024,clear primary
test_1025,clear primary road water
test_1026,primary partly_cloudy
test_1027,clear primary road agriculture
test_1028,primary agriculture partly_cloudy
test_1029,haze primary water agriculture
test_1030,clear primary agriculture
test_1031,clear primary
test_1032,haze primary water
test_1033,primary agriculture partly_cloudy
test_1034,clear primary
test_1035,clear primary agriculture cultivation
test_1036,clear primary
test_1037,clear primary cultivation
test_1038,clear primary road water
test_1039,cloudy
test_1040,clear primary
test_1041,primary partly_cloudy
test_1042,clear primary water
test_1043,haze primary agriculture
test_1044,primary agriculture partly_cloudy
test_1045,clear primary
test_1046,clear primary blow_down
test_1047,clear primary water agriculture
test_1048,clear primary
test_1049,clear primary
test_1050,clear primary
test_1051,clear primary
test_1052,clear primary
test_1053,haze primary water
test_1054,primary partly_cloudy
test_1055,clear primary water habitation
test_1056,haze primary
test_1057,clear primary road agriculture habitation
test_1058,clear primary agriculture
test_1059,haze primary
test_1060,clear primary road
test_1061,clear primary
test_1062,primary road agriculture partly_cloudy
test_1063,clear primary
test_1064,clear primary
test_1065,clear primary
test_1066,clear primary road agriculture cultivation habitation
test_1067,clear primary
test_1068,cloudy
test_1069,clear primary agriculture cultivation
test_1070,clear primary road agriculture
test_1071,clear primary road agriculture
test_1072,clear primary
test_1073,clear primary agriculture
test_1074,clear primary
test_1075,primary road bare_ground cultivation partly_cloudy
test_1076,clear primary water
test_1077,clear primary water
test_1078,clear primary bare_ground agriculture
test_1079,clear primary
test_1080,clear primary
test_1081,clear primary
test_1082,cloudy
test_1083,clear primary road agriculture habitation
test_1084,clear primary
test_1085,clear primary
test_1086,clear primary agriculture
test_1087,clear primary water
test_1088,clear primary
test_1089,clear primary road habitation
test_1090,clear primary road water
test_1091,clear primary water
test_1092,clear primary agriculture
test_1093,clear primary
test_1094,clear primary road agriculture habitation
test_1095,clear primary
test_1096,primary partly_cloudy
test_1097,primary agriculture partly_cloudy
test_1098,clear haze primary
test_1099,clear primary
test_1100,clear primary road agriculture cultivation
test_1101,clear primary agriculture cultivation
test_1102,clear primary bare_ground cultivation
test_1103,clear primary water
test_1104,clear primary water agriculture
test_1105,clear primary
test_1106,primary partly_cloudy
test_1107,clear primary road agriculture
test_1108,primary agriculture partly_cloudy
test_1109,clear water cloudy
test_1110,clear primary water
test_1111,clear primary
test_1112,clear primary road agriculture
test_1113,clear primary water agriculture
test_1114,cloudy
test_1115,clear primary water
test_1116,clear primary road agriculture habitation
test_1117,primary road partly_cloudy
test_1118,cloudy
test_1119,clear primary road agriculture
test_1120,clear primary
test_1121,clear primary
test_1122,clear primary agriculture
test_1123,clear primary road agriculture cultivation
test_1124,clear primary
test_1125,clear primary
test_1126,primary water partly_cloudy
test_1127,clear primary road agriculture
test_1128,clear primary road agriculture cultivation
test_1129,primary partly_cloudy
test_1130,clear primary
test_1131,cloudy
test_1132,primary cloudy
test_1133,clear primary
test_1134,clear primary road agriculture
test_1135,clear primary
test_1136,clear primary
test_1137,clear primary
test_1138,clear primary
test_1139,cloudy
test_1140,primary partly_cloudy
test_1141,primary partly_cloudy
test_1142,haze primary cloudy
test_1143,clear primary
test_1144,clear primary agriculture
test_1145,clear primary
test_1146,clear primary agriculture cultivation
test_1147,cloudy
test_1148,clear primary
test_1149,cloudy
test_1150,clear primary
test_1151,clear primary
test_1152,clear primary
test_1153,clear primary
test_1154,clear primary
test_1155,clear primary
test_1156,clear primary agriculture
test_1157,primary partly_cloudy
test_1158,clear primary road agriculture habitation
test_1159,primary partly_cloudy
